Invoice_ID,Invoice_Date,City,Store_Format,Category,Brand,Channel,Payment_Mode,Units,Cost_Price,Selling_Price,Revenue,Cost,Margin,Margin_%,Stock_On_Hand,Reorder_Level,Lead_Time_Days,Customer_Age,Customer_Gender,Loyalty_Flag
58018430,2024-02-02 13:50:00,Monterrey,Super,Grocery,Nestle,Online,Wallet,2,446.9971052745,525.171627656,1050.3432553121,893.9942105491,156.349044763,0.14885518993172178,154,31,11,20.0,M,1
48157952,2024-10-09 11:52:00,Leon,Hyper,Home Care,PepsiCo,Offline,Wallet,1,241.8802778354,318.1025918107,318.1025918107,241.8802778354,76.2223139753,0.23961550750467395,130,24,5,26.0,F,1
23283831,2024-08-26 22:03:00,Puebla,Hyper,Snacks,PepsiCo,Online,Card,5,543.6995090403,626.9400685335,3134.7003426677,2718.4975452013,416.2027974665,0.13277275400182387,270,44,8,27.0,F,0
53537460,2024-06-09 04:34:00,Tijuana,Hyper,Beverages,Nestle,Omnichannel,Card,2,587.4342073987,782.6398803086,1565.2797606171,1174.8684147974,390.4113458197,0.2494195323050623,403,63,8,,F,0
55348596,2024-06-07 01:13:00,Ciudad de Mexico,Super,Snacks,Bimbo,Offline,Card,3,70.7156649224,91.8734157567,275.6202472701,212.1469947671,63.4732525029,0.23029241549418963,366,40,9,60.0,F,1
26584668,2024-11-09 09:19:00,Queretaro,Super,Grocery,Lala,Omnichannel,Cash,4,37.7980614684,40.6837034389,162.7348137557,151.1922458737,11.542567882,0.07092869445460409,443,56,8,41.0,F,0
64724429,2024-02-01 08:53:00,Queretaro,Super,Snacks,Nestle,Online,SPEI,1,36.6730707461,41.1861112874,41.1861112874,36.6730707461,4.5130405413,0.10957675780044589,108,66,9,61.0,F,1
87959927,2024-09-11 12:57:00,Ciudad de Mexico,Super,Beverages,PepsiCo,Offline,Wallet,4,62.7102868104,71.3282659791,285.3130639162,250.8411472416,34.4719166746,0.12082137495368951,231,47,6,63.0,F,0
17834460,2024-03-14 12:52:00,Tijuana,Express,Dairy,Marinela,Online,SPEI,3,221.8808737593,253.7607209126,761.2821627379,665.6426212779,95.63954146,0.1256295577924049,124,23,13,46.0,M,0
17197345,2024-02-04 08:59:00,Guadalajara,Hyper,Grocery,Alpura,Online,Wallet,4,304.2489042511,364.8288300735,1459.315320294,1216.9956170044,242.3197032896,0.1660502702327356,79,48,5,,F,0
61045800,2024-07-11 03:57:00,Queretaro,Super,Personal Care,Sigma,Omnichannel,Card,4,171.2452884889,180.0521353193,720.2085412773,684.9811539557,35.2273873215,0.048912759711298805,488,59,10,19.0,M,1
80308054,2024-12-22 02:28:00,Ciudad de Mexico,Hyper,Snacks,Unilever,Online,Wallet,3,107.329074492,138.8882626513,416.664787954,321.987223476,94.6775644779,0.22722717929402667,342,65,5,,F,1
19199824,2024-09-25 13:12:00,Guadalajara,Express,Home Care,Alpura,Offline,Cash,2,345.6488861904,449.0970567263,898.1941134527,691.2977723809,206.8963410718,0.23034702407090757,148,76,3,49.0,O,1
94971137,2024-10-04 19:35:00,Guadalajara,Hyper,Home Care,Bimbo,Offline,Wallet,3,426.6636110448,453.3229174273,1359.9687522818,1279.9908331343,79.9779191474,0.0588086446936705,485,30,13,,F,0
52916538,2024-09-18 21:06:00,Puebla,Super,Snacks,PepsiCo,Omnichannel,SPEI,5,558.9803205265,786.9525002166,3934.762501083,2794.9016026327,1139.8608984504,0.2896898855106561,127,72,11,18.0,M,0
19570318,2024-10-13 21:56:00,Ciudad de Mexico,Express,Dairy,Marinela,Offline,Cash,1,395.5916271444,417.9424714656,417.9424714656,395.5916271444,22.3508443212,0.05347827954115787,404,39,5,24.0,F,0
50254121,2024-07-06 07:52:00,Merida,Hyper,Vegetables,Bimbo,Online,Wallet,4,469.4914479343,588.3726829608,2353.4907318433,1877.9657917373,475.524940106,0.20205090832609265,69,22,13,,O,0
49031611,2024-02-16 18:16:00,Merida,Express,Dairy,Lala,Online,Cash,3,582.5210300223,700.7308711213,2102.1926133638,1747.5630900669,354.6295232969,0.1686950667805067,188,56,12,26.0,F,0
45129981,2024-11-02 12:12:00,Guadalajara,Express,Snacks,Bimbo,Offline,Card,4,322.3095526975,338.8605316838,1355.4421267354,1289.2382107898,66.2039159456,0.048843041425179395,101,54,4,37.0,O,0
62645501,2024-06-13 09:23:00,Merida,Super,Fruits,Lala,Omnichannel,Card,1,125.8702259283,137.9088796026,137.9088796026,125.8702259283,12.0386536743,0.0872942605945379,219,78,12,,F,0
32202208,2024-07-01 15:05:00,Puebla,Super,Beverages,Unilever,Online,Card,2,441.5393077912,516.6606741205,1033.3213482411,883.0786155823,150.2427326587,0.14539787928942183,258,74,10,32.0,M,1
99220120,2024-05-15 08:11:00,Ciudad de Mexico,Super,Fruits,Lala,Offline,Card,1,126.3435748203,151.1506640106,151.1506640106,126.3435748203,24.8070891903,0.1641216024596097,490,63,14,,F,0
35722540,2024-03-07 15:08:00,Guadalajara,Express,Fruits,Alpura,Offline,Cash,4,230.8377087114,308.1988264473,1232.7953057893,923.3508348454,309.4444709439,0.25101042280961267,225,54,13,55.0,nan,0
87884465,2024-12-04 06:28:00,Guadalajara,Hyper,Grocery,Sigma,Offline,Card,4,468.0620951157,585.8046186233,2343.218474493,1872.2483804629,470.9700940301,0.2009928221191548,196,56,6,53.0,F,1
83676607,2024-10-12 06:32:00,Ciudad de Mexico,Hyper,Fruits,Marinela,Online,Wallet,5,39.9821248336,55.8363176421,279.1815882103,199.9106241678,79.2709640424,0.283940515385044,136,69,6,24.0,F,0
47280599,2024-08-23 00:16:00,Tijuana,Super,Home Care,Lala,Omnichannel,SPEI,1,76.4845592982,108.4047550164,108.4047550164,76.4845592982,31.9201957182,0.2944538338137433,301,27,3,,M,1
27355722,2024-05-26 21:09:00,Ciudad de Mexico,Hyper,Home Care,Bimbo,Offline,SPEI,4,504.0704572694,658.0477683498,2632.1910733992,2016.2818290778,615.9092443215,0.23399108466928006,298,76,12,,M,0
97112535,2024-10-27 07:24:00,Leon,Super,Home Care,Sigma,Omnichannel,Card,1,535.4845807678,748.792682016,748.792682016,535.4845807678,213.3081012482,0.2848693722191396,490,31,13,,F,1
61561691,2024-07-18 01:58:00,Tijuana,Express,Home Care,Alpura,Offline,Wallet,2,261.394056725,318.1240193116,636.2480386232,522.7881134501,113.4599251731,0.178326561789749,252,68,14,30.0,F,1
39813919,2024-06-10 20:18:00,Monterrey,Super,Fruits,Alpura,Omnichannel,Card,2,511.4641607862,573.9571170994,1147.9142341987,1022.9283215724,124.9859126264,0.1088808805595239,291,77,8,,M,1
23586460,2024-06-13 10:01:00,Tijuana,Hyper,Grocery,Marinela,Online,Wallet,2,295.8497526476,346.9331025207,693.8662050415,591.6995052952,102.1666997462,0.14724265139867093,105,23,8,18.0,M,0
40599204,2024-03-23 22:36:00,Puebla,Super,Personal Care,Unilever,Offline,Cash,2,251.9551794954,304.6219389829,609.2438779658,503.9103589908,105.333518975,0.1728922075124661,410,50,8,45.0,F,0
68702000,2024-02-03 15:06:00,Queretaro,Super,Dairy,Marinela,Offline,Wallet,4,46.3402228817,53.2627746997,213.0510987987,185.360891527,27.6902072718,0.12996979329320613,293,28,6,25.0,F,1
55563280,2024-07-21 10:10:00,Merida,Express,Beverages,Alpura,Offline,SPEI,3,203.0963077375,266.1483323285,798.4449969856,609.2889232125,189.1560737731,0.2369055783268641,346,44,6,,O,1
15996094,2024-11-20 01:55:00,Queretaro,Express,Beverages,PepsiCo,Online,Wallet,1,328.6474907248,473.4754723311,473.4754723311,328.6474907248,144.8279816062,0.3058827543762712,428,71,6,31.0,F,0
